Comunidad Autónoma,Provincia,año,cob_100mbps
Cataluña,Lleida,2018,0.6787826036315303
Cataluña,Lleida,2019,0.6866090544913366
Cataluña,Lleida,2020,0.7467992369509941
Cataluña,Lleida,2021,0.7914798300859274
Cataluña,Lleida,2022,0.8541316110726187
Cataluña,Lleida,2023,0.9166278996668134
Cataluña,Lleida,2024,0.9115883343571485
Galicia,Lugo,2013,0.49321949010826
Galicia,Lugo,2014,0.495844209269847
Galicia,Lugo,2015,0.49962575159999706
Galicia,Lugo,2016,0.4994653377006639
Galicia,Lugo,2017,0.5075879602960074
Galicia,Lugo,2018,0.513924002521898
Galicia,Lugo,2019,0.5603363368679026
Galicia,Lugo,2020,0.6040087313391042
Galicia,Lugo,2021,0.6135107049649778
Galicia,Lugo,2022,0.6300609094220276
Galicia,Lugo,2023,0.697365148913494
Galicia,Lugo,2024,0.7612703502031565
Madrid (Comunidad De),Madrid,2013,0.8284672935617249
Madrid (Comunidad De),Madrid,2014,0.9008912144036685
Madrid (Comunidad De),Madrid,2015,0.9311720017526467
Madrid (Comunidad De),Madrid,2016,0.9470792825499609
Madrid (Comunidad De),Madrid,2017,0.961400911145189
Madrid (Comunidad De),Madrid,2018,0.9712895859182725
Madrid (Comunidad De),Madrid,2019,0.972985433840938
Madrid (Comunidad De),Madrid,2020,0.9685343601093259
Madrid (Comunidad De),Madrid,2021,0.9841177102172345
Madrid (Comunidad De),Madrid,2022,0.9871979313295672
Madrid (Comunidad De),Madrid,2023,0.9897588715596236
Madrid (Comunidad De),Madrid,2024,0.9909659646782883
Ciudad Autónoma De Melilla,Melilla,2013,0.8339441652071964
Ciudad Autónoma De Melilla,Melilla,2014,0.8675584660988687
Ciudad Autónoma De Melilla,Melilla,2015,0.9578245718746924
Ciudad Autónoma De Melilla,Melilla,2016,1.0
Ciudad Autónoma De Melilla,Melilla,2017,1.0
Ciudad Autónoma De Melilla,Melilla,2018,1.0
Ciudad Autónoma De Melilla,Melilla,2019,1.0
Ciudad Autónoma De Melilla,Melilla,2020,1.0
Ciudad Autónoma De Melilla,Melilla,2021,0.995050485052465
Ciudad Autónoma De Melilla,Melilla,2022,0.9981369352585002
Ciudad Autónoma De Melilla,Melilla,2023,0.9886706948640483
Ciudad Autónoma De Melilla,Melilla,2024,0.9827836780324204
Murcia (Región De),Murcia,2013,0.5395560397217767
Murcia (Región De),Murcia,2014,0.6201585776238736
Murcia (Región De),Murcia,2015,0.6539331481534437
Murcia (Región De),Murcia,2016,0.6651929857604667
Murcia (Región De),Murcia,2017,0.7074013892659327
Murcia (Región De),Murcia,2018,0.7828865659209654
Murcia (Región De),Murcia,2019,0.8353498250716804
Murcia (Región De),Murcia,2020,0.8693875926625886
Murcia (Región De),Murcia,2021,0.882270049628955
Murcia (Región De),Murcia,2022,0.9107246453246137
Murcia (Región De),Murcia,2023,0.9231431099938752
Murcia (Región De),Murcia,2024,0.9426783276931409
Andalucía,Málaga,2013,0.29800119323129587
Andalucía,Málaga,2014,0.4168358128620444
Andalucía,Málaga,2015,0.5729645166235494
Andalucía,Málaga,2016,0.6584911364839944
Andalucía,Málaga,2017,0.8004405555705216
Andalucía,Málaga,2018,0.837298084913394
Andalucía,Málaga,2019,0.8271644984960781
Andalucía,Málaga,2020,0.9388286949783302
Andalucía,Málaga,2021,0.9334235416180706
Andalucía,Málaga,2022,0.9256018696869301
Andalucía,Málaga,2023,0.9361343212663581
Andalucía,Málaga,2024,0.953567489282698
Navarra (Comunidad Foral),Navarra,2013,0.602303282866383
Navarra (Comunidad Foral),Navarra,2014,0.6820177268237051
Navarra (Comunidad Foral),Navarra,2015,0.692282409778815
Navarra (Comunidad Foral),Navarra,2016,0.7133079725359417
Navarra (Comunidad Foral),Navarra,2017,0.7854123534408314
Navarra (Comunidad Foral),Navarra,2018,0.8006208015016392
Navarra (Comunidad Foral),Navarra,2019,0.8115937285478595
Navarra (Comunidad Foral),Navarra,2020,0.7980943506546281
Navarra (Comunidad Foral),Navarra,2021,0.854854036179846
Navarra (Comunidad Foral),Navarra,2022,0.91104685327298
Navarra (Comunidad Foral),Navarra,2023,0.9305555555555556
Navarra (Comunidad Foral),Navarra,2024,0.9388142810350475
Galicia,Ourense,2013,0.48886416416661194
Galicia,Ourense,2014,0.49095607911414685
Galicia,Ourense,2015,0.49889484140854196
Galicia,Ourense,2016,0.5064693310273111
Galicia,Ourense,2017,0.5254330346509841
Galicia,Ourense,2018,0.5364971179095387
Galicia,Ourense,2019,0.5681177406002158
Galicia,Ourense,2020,0.6595189526709234
Galicia,Ourense,2021,0.7057557565050753
