ccaa,provincia,anyo,cob_100mbps_pct,delta_yoy,ranking_anio
Castilla-La Mancha,Guadalajara,2022,78.5225,5.2672,41
Castilla-La Mancha,Guadalajara,2023,83.3756,4.8531,45
Castilla-La Mancha,Guadalajara,2024,84.4532,1.0776,45
Andalucía,Huelva,2013,36.805,,34
Andalucía,Huelva,2014,40.9624,4.1574,35
Andalucía,Huelva,2015,40.7554,-0.207,37
Andalucía,Huelva,2016,41.3887,0.6333,40
Andalucía,Huelva,2017,56.1534,14.7647,37
Andalucía,Huelva,2018,61.9341,5.7807,37
Andalucía,Huelva,2019,70.0692,8.1351,33
Andalucía,Huelva,2020,79.7284,9.6592,29
Andalucía,Huelva,2021,83.7742,4.0458,31
Andalucía,Huelva,2022,87.6565,3.8823,30
Andalucía,Huelva,2023,93.0806,5.4241,22
Andalucía,Huelva,2024,95.0144,1.9338,18
Aragón,Huesca,2013,23.3896,,49
Aragón,Huesca,2014,23.4849,0.0953,49
Aragón,Huesca,2015,26.3096,2.8247,49
Aragón,Huesca,2016,29.7847,3.4751,49
Aragón,Huesca,2017,45.1912,15.4065,46
Aragón,Huesca,2018,59.9382,14.747,40
Aragón,Huesca,2019,71.4549,11.5167,29
Aragón,Huesca,2020,78.5513,7.0964,30
Aragón,Huesca,2021,70.5594,-7.9919,44
Aragón,Huesca,2022,63.2014,-7.358,51
Aragón,Huesca,2023,83.7963,20.5949,42
Aragón,Huesca,2024,81.8678,-1.9285,47
Andalucía,Jaén,2013,26.0128,,45
Andalucía,Jaén,2014,31.4446,5.4318,39
Andalucía,Jaén,2015,35.4002,3.9556,41
Andalucía,Jaén,2016,37.9602,2.56,45
Andalucía,Jaén,2017,56.2812,18.321,36
Andalucía,Jaén,2018,69.509,13.2278,27
Andalucía,Jaén,2019,81.9895,12.4805,20
Andalucía,Jaén,2020,90.8257,8.8362,13
Andalucía,Jaén,2021,87.1896,-3.6361,25
Andalucía,Jaén,2022,89.4618,2.2722,26
Andalucía,Jaén,2023,92.4274,2.9656,28
Andalucía,Jaén,2024,91.378,-1.0494,34
Castilla Y León,León,2013,49.1862,,24
Castilla Y León,León,2014,49.2965,0.1103,27
Castilla Y León,León,2015,49.4941,0.1976,31
Castilla Y León,León,2016,52.4982,3.0041,30
Castilla Y León,León,2017,57.8838,5.3856,31
Castilla Y León,León,2018,62.0927,4.2089,36
Castilla Y León,León,2019,63.9323,1.8396,42
Castilla Y León,León,2020,71.8151,7.8828,44
Castilla Y León,León,2021,66.586,-5.2291,46
Castilla Y León,León,2022,73.7478,7.1618,43
Castilla Y León,León,2023,83.6714,9.9236,44
Castilla Y León,León,2024,85.1004,1.429,44
Cataluña,Lleida,2013,28.7861,,42
Cataluña,Lleida,2014,28.8238,0.0377,42
Cataluña,Lleida,2015,38.1309,9.3071,40
Cataluña,Lleida,2016,43.891,5.7601,39
Cataluña,Lleida,2017,57.336,13.445,34
Cataluña,Lleida,2018,67.8783,10.5423,28
Cataluña,Lleida,2019,68.6609,0.7826,35
Cataluña,Lleida,2020,74.6799,6.019,37
Cataluña,Lleida,2021,79.148,4.4681,37
Cataluña,Lleida,2022,85.4132,6.2652,34
Cataluña,Lleida,2023,91.6628,6.2496,33
Cataluña,Lleida,2024,91.1588,-0.504,35
Galicia,Lugo,2013,49.3219,,23
Galicia,Lugo,2014,49.5844,0.2625,26
