provincia,anyo,entradas,salidas,saldo_neto,tasa_atraccion,delta_saldo_yoy,ranking_atraccion_anio,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita,cob_100mbps_pct,ranking_anio
Araba/Álava,2010,18029,3670,14359,0.7964,8630,4,13305.0,158322.0,1871766.0,57745.0,0.084038,,
Araba/Álava,2010,18029,3670,14359,0.7964,8630,4,13305.0,159030.0,1871766.0,57745.0,0.083663,,
Araba/Álava,2011,5032,3657,1375,0.2733,-12984,23,9708.0,319227.0,2068298.0,62134.0,0.030411,,
Araba/Álava,2011,5032,3657,1375,0.2733,-12984,23,9708.0,159041.0,2068298.0,62134.0,0.061041,,
Araba/Álava,2011,5032,3657,1375,0.2733,-12984,23,9708.0,160186.0,2068298.0,62134.0,0.060605,,
Araba/Álava,2012,7688,3714,3974,0.5169,2599,16,8871.0,322557.0,1993164.0,62198.0,0.027502,,
Araba/Álava,2012,7688,3714,3974,0.5169,2599,16,8871.0,160649.0,1993164.0,62198.0,0.05522,,
Araba/Álava,2012,7688,3714,3974,0.5169,2599,16,8871.0,161908.0,1993164.0,62198.0,0.05479,,
Araba/Álava,2013,13692,3785,9907,0.7236,5933,5,6912.0,321417.0,1809565.0,58859.0,0.021505,73.7848,7.0
Araba/Álava,2013,13692,3785,9907,0.7236,5933,5,6912.0,159622.0,1809565.0,58859.0,0.043302,73.7848,7.0
Araba/Álava,2013,13692,3785,9907,0.7236,5933,5,6912.0,161795.0,1809565.0,58859.0,0.042721,73.7848,7.0
Araba/Álava,2014,6050,3662,2388,0.3947,-7519,15,5844.0,321932.0,1868164.0,59107.0,0.018153,75.0794,8.0
Araba/Álava,2014,6050,3662,2388,0.3947,-7519,15,5844.0,159583.0,1868164.0,59107.0,0.03662,75.0794,8.0
Araba/Álava,2014,6050,3662,2388,0.3947,-7519,15,5844.0,162349.0,1868164.0,59107.0,0.035997,75.0794,8.0
Araba/Álava,2015,6196,3624,2572,0.4151,184,10,5673.0,323648.0,2111761.0,86314.0,0.017528,77.4934,9.0
Araba/Álava,2015,6196,3624,2572,0.4151,184,10,5673.0,160294.0,2111761.0,86314.0,0.035391,77.4934,9.0
Araba/Álava,2015,6196,3624,2572,0.4151,184,10,5673.0,163354.0,2111761.0,86314.0,0.034728,77.4934,9.0
Araba/Álava,2016,41369,3614,37755,0.9126,35183,2,6651.0,324126.0,2224105.0,86643.0,0.02052,83.4536,7.0
Araba/Álava,2016,41369,3614,37755,0.9126,35183,2,6651.0,160240.0,2224105.0,86643.0,0.041506,83.4536,7.0
Araba/Álava,2016,41369,3614,37755,0.9126,35183,2,6651.0,163886.0,2224105.0,86643.0,0.040583,83.4536,7.0
Araba/Álava,2017,10458,3716,6742,0.6447,-31013,8,8421.0,326574.0,2398599.0,88081.0,0.025786,84.8014,7.0
Araba/Álava,2017,10458,3716,6742,0.6447,-31013,8,8421.0,161354.0,2398599.0,88081.0,0.05219,84.8014,7.0
Araba/Álava,2017,10458,3716,6742,0.6447,-31013,8,8421.0,165220.0,2398599.0,88081.0,0.050968,84.8014,7.0
Araba/Álava,2018,5612,3822,1790,0.319,-4952,23,9528.0,328868.0,2424453.0,87688.0,0.028972,85.4273,12.0
Araba/Álava,2018,5612,3822,1790,0.319,-4952,23,9528.0,162175.0,2424453.0,87688.0,0.058751,85.4273,12.0
Araba/Álava,2018,5612,3822,1790,0.319,-4952,23,9528.0,166693.0,2424453.0,87688.0,0.057159,85.4273,12.0
Araba/Álava,2019,7079,3918,3161,0.4465,1371,17,9927.0,331549.0,2388563.0,85315.0,0.029941,90.4127,8.0
Araba/Álava,2019,7079,3918,3161,0.4465,1371,17,9927.0,163499.0,2388563.0,85315.0,0.060716,90.4127,8.0
Araba/Álava,2019,7079,3918,3161,0.4465,1371,17,9927.0,168050.0,2388563.0,85315.0,0.059072,90.4127,8.0
Araba/Álava,2020,3073,3519,-446,-0.1451,-3607,31,10140.0,333940.0,1001429.0,60554.0,0.030365,91.7007,11.0
Araba/Álava,2020,3073,3519,-446,-0.1451,-3607,31,10140.0,164524.0,1001429.0,60554.0,0.061632,91.7007,11.0
Araba/Álava,2020,3073,3519,-446,-0.1451,-3607,31,10140.0,169416.0,1001429.0,60554.0,0.059853,91.7007,11.0
Araba/Álava,2021,3542,3946,-404,-0.1141,42,29,10449.0,333626.0,1790500.0,80567.0,0.03132,95.8548,5.0
Araba/Álava,2021,3542,3946,-404,-0.1141,42,29,10449.0,164252.0,1790500.0,80567.0,0.063616,95.8548,5.0
Araba/Álava,2021,3542,3946,-404,-0.1141,42,29,10449.0,169374.0,1790500.0,80567.0,0.061692,95.8548,5.0
Asturias,2008,3241,7780,-4539,-1.4005,,38,40251.0,1080138.0,,,0.037265,,
Asturias,2008,3241,7780,-4539,-1.4005,,38,40251.0,518291.0,,,0.077661,,
Asturias,2008,3241,7780,-4539,-1.4005,,38,40251.0,561847.0,,,0.07164,,
Asturias,2009,5050,8009,-2959,-0.5859,1580,33,26448.0,1085289.0,,,0.02437,,
Asturias,2009,5050,8009,-2959,-0.5859,1580,33,26448.0,520916.0,,,0.050772,,
Asturias,2009,5050,8009,-2959,-0.5859,1580,33,26448.0,564373.0,,,0.046863,,
Asturias,2010,14270,8515,5755,0.4033,8714,11,29421.0,1084341.0,,,0.027133,,
Asturias,2010,14270,8515,5755,0.4033,8714,11,29421.0,520402.0,,,0.056535,,
Asturias,2010,14270,8515,5755,0.4033,8714,11,29421.0,563939.0,,,0.052171,,
Asturias,2011,20820,8431,12389,0.5951,6634,5,23781.0,1081487.0,,,0.021989,,
Asturias,2011,20820,8431,12389,0.5951,6634,5,23781.0,518571.0,,,0.045859,,
Asturias,2011,20820,8431,12389,0.5951,6634,5,23781.0,562916.0,,,0.042246,,
Asturias,2012,12101,7986,4115,0.3401,-8274,15,19833.0,1077360.0,,,0.018409,,
Asturias,2012,12101,7986,4115,0.3401,-8274,15,19833.0,516420.0,,,0.038405,,
Asturias,2012,12101,7986,4115,0.3401,-8274,15,19833.0,560940.0,,,0.035357,,
Asturias,2013,3677,7906,-4229,-1.1501,-8344,41,14790.0,1068165.0,,,0.013846,79.2007,5.0
Asturias,2013,3677,7906,-4229,-1.1501,-8344,41,14790.0,511346.0,,,0.028924,79.2007,5.0
Asturias,2013,3677,7906,-4229,-1.1501,-8344,41,14790.0,556819.0,,,0.026562,79.2007,5.0
Asturias,2014,6575,8030,-1455,-0.2213,2774,30,14691.0,1061756.0,,,0.013837,79.0948,6.0
Asturias,2014,6575,8030,-1455,-0.2213,2774,30,14691.0,507927.0,,,0.028923,79.0948,6.0
Asturias,2014,6575,8030,-1455,-0.2213,2774,30,14691.0,553829.0,,,0.026526,79.0948,6.0
Asturias,2015,3093,7868,-4775,-1.5438,-3320,43,16527.0,1051229.0,,,0.015722,79.3252,8.0
Asturias,2015,3093,7868,-4775,-1.5438,-3320,43,16527.0,502175.0,,,0.032911,79.3252,8.0
Asturias,2015,3093,7868,-4775,-1.5438,-3320,43,16527.0,549054.0,,,0.030101,79.3252,8.0
Asturias,2016,12595,7493,5102,0.4051,9877,11,19242.0,1042608.0,,,0.018456,79.4229,9.0
Asturias,2016,12595,7493,5102,0.4051,9877,11,19242.0,497852.0,,,0.03865,79.4229,9.0
Asturias,2016,12595,7493,5102,0.4051,9877,11,19242.0,544756.0,,,0.035322,79.4229,9.0
Asturias,2017,3874,7287,-3413,-0.881,-8515,38,23520.0,1034960.0,,,0.022726,79.8426,13.0
Asturias,2017,3874,7287,-3413,-0.881,-8515,38,23520.0,493911.0,,,0.04762,79.8426,13.0
Asturias,2017,3874,7287,-3413,-0.881,-8515,38,23520.0,541049.0,,,0.043471,79.8426,13.0
Asturias,2018,7849,7394,455,0.058,3868,27,26775.0,1028244.0,,,0.02604,80.3419,16.0
Asturias,2018,7849,7394,455,0.058,3868,27,26775.0,490738.0,,,0.054561,80.3419,16.0
Asturias,2018,7849,7394,455,0.058,3868,27,26775.0,537506.0,,,0.049813,80.3419,16.0
Asturias,2019,4489,7429,-2940,-0.6549,-3395,31,25011.0,1022800.0,,,0.024453,79.9184,24.0
Asturias,2019,4489,7429,-2940,-0.6549,-3395,31,25011.0,488137.0,,,0.051238,79.9184,24.0
Asturias,2019,4489,7429,-2940,-0.6549,-3395,31,25011.0,534663.0,,,0.046779,79.9184,24.0
Asturias,2020,11099,6065,5034,0.4536,7974,9,22881.0,1018784.0,,,0.022459,82.4247,25.0
Asturias,2020,11099,6065,5034,0.4536,7974,9,22881.0,486066.0,,,0.047074,82.4247,25.0
Asturias,2020,11099,6065,5034,0.4536,7974,9,22881.0,532718.0,,,0.042951,82.4247,25.0
Asturias,2021,13054,6988,6066,0.4647,1032,11,28218.0,1011792.0,,,0.027889,77.4915,38.0
Asturias,2021,13054,6988,6066,0.4647,1032,11,28218.0,482665.0,,,0.058463,77.4915,38.0
Asturias,2021,13054,6988,6066,0.4647,1032,11,28218.0,529127.0,,,0.053329,77.4915,38.0
Badajoz,2008,69275,6486,62789,0.9064,,1,27357.0,685246.0,3138429.0,112915.0,0.039923,,
Badajoz,2008,69275,6486,62789,0.9064,,1,27357.0,340243.0,3138429.0,112915.0,0.080404,,
Badajoz,2008,69275,6486,62789,0.9064,,1,27357.0,345003.0,3138429.0,112915.0,0.079295,,
Badajoz,2009,1984,6152,-4168,-2.1008,-66957,41,21315.0,688777.0,3048815.0,114640.0,0.030946,,
Badajoz,2009,1984,6152,-4168,-2.1008,-66957,41,21315.0,341912.0,3048815.0,114640.0,0.062341,,
Badajoz,2009,1984,6152,-4168,-2.1008,-66957,41,21315.0,346865.0,3048815.0,114640.0,0.06145,,
Badajoz,2010,1529,6174,-4645,-3.0379,-477,38,19032.0,692137.0,3008051.0,116121.0,0.027497,,
Badajoz,2010,1529,6174,-4645,-3.0379,-477,38,19032.0,343363.0,3008051.0,116121.0,0.055428,,
Badajoz,2010,1529,6174,-4645,-3.0379,-477,38,19032.0,348774.0,3008051.0,116121.0,0.054568,,
Badajoz,2011,8581,6405,2176,0.2536,6821,20,15084.0,693921.0,3581608.0,133638.0,0.021737,,
Badajoz,2011,8581,6405,2176,0.2536,6821,20,15084.0,344291.0,3581608.0,133638.0,0.043812,,
Badajoz,2011,8581,6405,2176,0.2536,6821,20,15084.0,349630.0,3581608.0,133638.0,0.043143,,
Badajoz,2012,10098,6450,3648,0.3613,1472,17,11892.0,694533.0,3308633.0,134317.0,0.017122,,
Badajoz,2012,10098,6450,3648,0.3613,1472,17,11892.0,344690.0,3308633.0,134317.0,0.034501,,
Badajoz,2012,10098,6450,3648,0.3613,1472,17,11892.0,349843.0,3308633.0,134317.0,0.033992,,
