provincia,anyo,flujo_hombres,flujo_mujeres,flujo_total,ratio_feminizacion,brecha_absoluta,saldo_neto,tasa_atraccion,cob_100mbps_pct,compraventas_per_capita
"Balears, Illes",2015,15201.0,12142.0,27343.0,44.40624657133453,-3059.0,5913,0.3019,59.1245,0.057868
"Balears, Illes",2015,15201.0,12142.0,27343.0,44.40624657133453,-3059.0,5913,0.3019,59.1245,0.057334
"Balears, Illes",2016,13143.0,11380.0,24523.0,46.405415324389345,-1763.0,59796,0.8298,73.7621,0.037445
"Balears, Illes",2016,13143.0,11380.0,24523.0,46.405415324389345,-1763.0,59796,0.8298,73.7621,0.075288
"Balears, Illes",2016,13143.0,11380.0,24523.0,46.405415324389345,-1763.0,59796,0.8298,73.7621,0.074496
"Balears, Illes",2017,14852.0,12722.0,27574.0,46.13766591716835,-2130.0,-10555,-3.2658,81.9403,0.042723
"Balears, Illes",2017,14852.0,12722.0,27574.0,46.13766591716835,-2130.0,-10555,-3.2658,81.9403,0.08592
"Balears, Illes",2017,14852.0,12722.0,27574.0,46.13766591716835,-2130.0,-10555,-3.2658,81.9403,0.084978
"Balears, Illes",2018,15308.0,12988.0,28296.0,45.900480633305065,-2320.0,3641,0.2047,85.5724,0.041629
"Balears, Illes",2018,15308.0,12988.0,28296.0,45.900480633305065,-2320.0,3641,0.2047,85.5724,0.08365
"Balears, Illes",2018,15308.0,12988.0,28296.0,45.900480633305065,-2320.0,3641,0.2047,85.5724,0.082868
"Balears, Illes",2019,16888.0,14168.0,31056.0,45.620814013395155,-2720.0,-12948,-5.0186,84.0114,0.036343
"Balears, Illes",2019,16888.0,14168.0,31056.0,45.620814013395155,-2720.0,-12948,-5.0186,84.0114,0.072937
"Balears, Illes",2019,16888.0,14168.0,31056.0,45.620814013395155,-2720.0,-12948,-5.0186,84.0114,0.072438
"Balears, Illes",2020,15128.0,12884.0,28012.0,45.99457375410538,-2244.0,-2293,-0.1958,90.3695,0.027359
"Balears, Illes",2020,15128.0,12884.0,28012.0,45.99457375410538,-2244.0,-2293,-0.1958,90.3695,0.054856
"Balears, Illes",2020,15128.0,12884.0,28012.0,45.99457375410538,-2244.0,-2293,-0.1958,90.3695,0.05458
"Balears, Illes",2021,16716.0,14302.0,31018.0,46.108711070991035,-2414.0,-12151,-3.6185,92.6583,0.036235
"Balears, Illes",2021,16716.0,14302.0,31018.0,46.108711070991035,-2414.0,-12151,-3.6185,92.6583,0.072675
"Balears, Illes",2021,16716.0,14302.0,31018.0,46.108711070991035,-2414.0,-12151,-3.6185,92.6583,0.072267
Barcelona,2013,45784.0,40012.0,85796.0,46.63620681616859,-5772.0,-32745,-3.2248,58.1505,0.015437
Barcelona,2013,45784.0,40012.0,85796.0,46.63620681616859,-5772.0,-32745,-3.2248,58.1505,0.031546
Barcelona,2013,45784.0,40012.0,85796.0,46.63620681616859,-5772.0,-32745,-3.2248,58.1505,0.030229
Barcelona,2014,42605.0,37048.0,79653.0,46.511744692604175,-5557.0,-32992,-4.8269,74.0448,0.017033
Barcelona,2014,42605.0,37048.0,79653.0,46.511744692604175,-5557.0,-32992,-4.8269,74.0448,0.034859
Barcelona,2014,42605.0,37048.0,79653.0,46.511744692604175,-5557.0,-32992,-4.8269,74.0448,0.033308
Barcelona,2015,41623.0,36730.0,78353.0,46.877592434239915,-4893.0,-26708,-2.1418,80.4209,0.020517
