provincia,anyo,entradas,salidas,saldo_neto
Madrid,2018,17512,62471,-44959
Madrid,2019,3729,67176,-63447
Madrid,2020,10243,70288,-60045
Madrid,2021,5516,78600,-73084
Melilla,2008,4270,1823,2447
Melilla,2009,5701,1807,3894
Melilla,2010,18029,1768,16261
Melilla,2011,3896,2064,1832
Melilla,2012,9354,1824,7530
Melilla,2013,5971,2117,3854
Melilla,2014,17023,2218,14805
Melilla,2015,5748,2668,3080
Melilla,2016,5522,2640,2882
Melilla,2017,3232,2848,384
Melilla,2018,3236,3214,22
Melilla,2019,4930,3442,1488
Melilla,2020,12095,2416,9679
Melilla,2021,21273,3292,17981
Murcia,2008,8588,15548,-6960
Murcia,2009,18616,14053,4563
Murcia,2010,8437,14312,-5875
Murcia,2011,6434,14363,-7929
Murcia,2012,5791,12836,-7045
Murcia,2013,3261,12131,-8870
Murcia,2014,6050,12750,-6700
Murcia,2015,3403,13433,-10030
Murcia,2016,18791,12503,6288
Murcia,2017,4430,12155,-7725
Murcia,2018,12531,12618,-87
Murcia,2019,5851,13006,-7155
Murcia,2020,4077,10773,-6696
Murcia,2021,13318,12239,1079
Málaga,2008,6965,15604,-8639
Málaga,2009,10553,15247,-4694
Málaga,2010,3697,15521,-11824
Málaga,2011,14838,14872,-34
Málaga,2012,3374,14110,-10736
Málaga,2013,4665,14620,-9955
Málaga,2014,4297,14152,-9855
Málaga,2015,1108,14832,-13724
Málaga,2016,13251,14634,-1383
Málaga,2017,5964,14270,-8306
Málaga,2018,5945,14481,-8536
Málaga,2019,5253,15309,-10056
Málaga,2020,7021,12584,-5563
Málaga,2021,5096,14533,-9437
Navarra,2008,18279,5356,12923
Navarra,2009,3780,5377,-1597
Navarra,2010,9031,5621,3410
Navarra,2011,3954,5865,-1911
Navarra,2012,3789,5782,-1993
Navarra,2013,4595,6045,-1450
Navarra,2014,4768,5488,-720
Navarra,2015,3148,5392,-2244
Navarra,2016,17089,5205,11884
Navarra,2017,3281,5536,-2255
Navarra,2018,6979,5529,1450
Navarra,2019,20294,5762,14532
Navarra,2020,13519,4974,8545
Navarra,2021,17956,5684,12272
Ourense,2008,6978,3980,2998
Ourense,2009,10866,3811,7055
Ourense,2010,2140,3956,-1816
Ourense,2011,7500,3968,3532
Ourense,2012,8606,3662,4944
Ourense,2013,5860,3639,2221
Ourense,2014,4036,3776,260
Ourense,2015,1679,3770,-2091
Ourense,2016,6500,3676,2824
Ourense,2017,1523,3538,-2015
Ourense,2018,5612,3591,2021
Ourense,2019,7672,3685,3987
Ourense,2020,7192,2829,4363
Ourense,2021,9920,3326,6594
Palencia,2008,6767,2494,4273
Palencia,2009,5050,2452,2598
Palencia,2010,10127,2468,7659
Palencia,2011,5032,2438,2594
Palencia,2012,7688,2279,5409
Palencia,2013,4493,2171,2322
Palencia,2014,6575,2170,4405
Palencia,2015,2135,2099,36
Palencia,2016,2045,2097,-52
Palencia,2017,3481,2053,1428
Palencia,2018,4796,2161,2635
Palencia,2019,3236,2208,1028
Palencia,2020,3324,1780,1544
Palencia,2021,3542,1978,1564
"Palmas, Las",2008,5004,14982,-9978
"Palmas, Las",2009,6354,14278,-7924
"Palmas, Las",2010,8536,12909,-4373
"Palmas, Las",2011,20820,12250,8570
"Palmas, Las",2012,4471,10791,-6320
"Palmas, Las",2013,6164,10535,-4371
"Palmas, Las",2014,2776,10058,-7282
"Palmas, Las",2015,4330,10544,-6214
"Palmas, Las",2016,17599,9996,7603
"Palmas, Las",2017,1658,9871,-8213
"Palmas, Las",2018,6975,10003,-3028
"Palmas, Las",2019,9256,10742,-1486
"Palmas, Las",2020,8309,9244,-935
"Palmas, Las",2021,2619,10917,-8298
